/wiki/Andalusian_Progress_Party,/wiki/Canarian_Independent_Groups,/wiki/Confederation_of_the_Greens,/wiki/Democratic_Party_of_the_New_Left,/wiki/Galician_Coalition,/wiki/Galician_Nationalist_Bloc,/wiki/Galician_Socialist_Party%E2%80%93Galician_Left,/wiki/PSM%E2%80%93Nationalist_Agreement,/wiki/Progressives_for_the_Balearic_Islands,/wiki/Ruiz-Mateos_Group,/wiki/Unity_for_the_Isles,AP,AP-PDP-PL,AP–PDP,Amaiur logo.svg,Aralar,BNG–Nós,C's,CC,CDC,CDS,CHA,CUP,CiU,Compromís,Cs,DiL,EA,EE,EHB.png,ERC,ERC–CatSí,FAC,GBai,HB,ICV,IU,IU–LV,IU–UPeC,Isotipo Unidos Podemos.svg,Més,NC,NCa,NaBai,PA,PACMA,PAR,PCE,PDP,PDeCAT,PNV,PP,PRC,PRD,PSOE,Podemos,UA,UCD,UPCA,UPN,UPyD,UV,Unnamed: 0,Vox,date,eQuo,error,firm,lead,size,turnout,unio.cat
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.714/15,,,,,,,,,,,,,,,38.8152/154,,,39.4149/150,,,,,,,,87,,1998-05-02,,,La Vanguardia[p 100],0.6,,,
,,,,,,,,,,,,,,,,,,,,,,,3.7,,,,,,,0.4,,,,,,9.4,,,,,,,,,,,,,,2.2,36.2,,,39.4,,,,,,,,88,,1998-04-29,,,Vox Pública/El Periódico[p 101][p 102],3.2,1200.0,61–67,
,,,,,,,,,,,,,,,,,,,,,,,4.916,,,,,,,,,,,,,9.014/15,,,,,,,,,,,,,,1.35,37.1149/151,,,38.9152/155,,,,,,,,89,,1998-04-29,,,CIS[p 40][p 103][p 104][p 105],1.8,2498.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.2,,,38.9,,,,,,,,90,,1998-04-24,,,ASEP[c][p 93][p 94],2.7,1204.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.515/16,,,,,,,,,,,,,8.513/16,,,,,,,,,,,,,,1.35/6,41.2163/168,,,37.5136/142,,,,,,,,91,,1998-04-15,,,Metra Seis/Colpisa[p 106][p 16],3.7,1200.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.6,,,,,,,,,,,,,9.4,,,,,,,,,,,,,,1.2,38.3,,,38.3,,,,,,,,92,,1998-03-23,,,Gallup[p 30][p 16],Tie,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5,,,37.3,,,,,,,,93,,1998-03-20,,,ASEP[c][p 93][p 94],1.2,1209.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,39.0,,,,,,,,94,,1998-03-19,,,DECO/PSOE[p 107][p 108],1.0,2000.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.1,,,38.3,,,,,,,,95,,1998-02-23,,,DECO/PSOE[p 109],1.8,2000.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,,,36.0,,,,,,,,96,,1998-02-20,,,ASEP[c][p 93][p 94],3.0,1213.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.5?,,,,,,,,,,,,,9.3?,,,,,,,,,,,,,,1.3?,40.5164,,,36.4138,,,,,,,,97,,1998-01-27,,,CIS[p 110][p 111][p 112][p 43],4.1,2496.0,76.6,
,,,2.0,,,,,,,,,,,,,,,,,,,,4.8,,,,,,,0.8,,,,,,6.5,,,,,,,,,,,,,,1.0,41.0,,,36.0,,,,,,,,98,,1998-01-24,,,Opina/La Vanguardia[p 113],5.0,1000.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,,,34.6,,,,,,,,99,,1998-01-23,,,ASEP[c][p 93][p 94],6.4,1209.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.816/17,,,,,,,,,,,,,8.613/16,,,,,,,,,,,,,,1.55/7,41.8166/172,,,36.5133/138,,,,,,,,100,,1998-01-14,,,Metra Seis/Colpisa[p 114][p 115],5.3,1200.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,8.5,,,,,,,,,,,,,,1.3,42.1,,,36.4,,,,,,,,101,,1997-12-28,,,Sigma Dos/El Mundo[p 116][p 117],5.7,,,
,,,,,,,,,,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,8.8,,,,,,,,,,,,,,1.2,39.8,,,36.8,,,,,,,,102,,1997-12-22,,,Gallup[p 30][p 16],3.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.2,,,34.5,,,,,,,,103,,1997-12-13,,,ASEP[c][p 93][p 94],6.7,1204.0,,
,,,2.0,,,,,,,,,,,,,,,,,,,,4.6,,,,,,,0.8,,,,,,6.5,,,,,,,,,,,,,,0.8,40.0,,,37.0,,,,,,,,104,,1997-12-05,,,Opina/La Vanguardia[p 118],3.0,1000.0,,
,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,8.8,,,,,,,,,,,,,,1.3,40.8,,,34.7,,,,,,,,105,,1997-11-30,,,Demoscopia/El País[p 119][p 16],6.1,,,
,,,,,,,,,,,,,,,,,,,,,,,4.616,,,,,,,,,,,,,7.112,,,,,,,,,,,,,,,39.6169/171,,,34.2133/136,,,,,,,,106,,1997-11-23,,,La Vanguardia[p 120][p 78],5.4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,37.7,,,,,,,,107,,1997-11-15,,,ASEP[c][p 93][p 94],0.3,1211.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.6?,,,,,,,,,,,,,9.0?,,,,,,,,,,,,,,1.2?,39.6163,,,36.4140,,,,,,,,108,,1997-10-28,,,CIS[p 121][p 122][p 123][p 43],3.2,2496.0,76.8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5,,,36.6,,,,,,,,109,,1997-10-18,,,ASEP[c][p 93][p 94],2.9,1214.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,9.1,,,,,,,,,,,,,,1.5,40.5,,,37.4,,,,,,,,110,,1997-10-12,,,Sigma Dos/El Mundo[p 124],3.1,,,
,,,,,,,,,,,,,,,,,,,,,,,5.4,,,,,,,,,,,,,8.9,,,,,,,,,,,,,,1.3,38.9,,,38.0,,,,,,,,111,,1997-10-09,,,Intercampo/GETS[p 44],0.9,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,,,,,,,,,,,,,,,38.5,,,37.7,,,,,,,,112,,1997-10-03,,,DECO/PSOE[p 125],0.8,,,
,,,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,8.7,,,,,,,,,,,,,,1.2,41.0,,,34.7,,,,,,,,113,,1997-10-01,,,Demoscopia/El País[p 16],6.3,,,
,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,8.9,,,,,,,,,,,,,,1.2,39.0,,,38.6,,,,,,,,114,,1997-09-22,,,Gallup[p 30][p 16],0.4,,,
,,,,,,,,,,,,,,,,,,,,,,,5.2,,,,,,,0.5,,,,,,8.5,,,,,,,,,,,,,,1.0,40.0,,,38.5,,,,,,,,115,,1997-09-21,,,Opina/La Vanguardia[p 126],1.5,1000.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.8,,,35.8,,,,,,,,116,,1997-09-20,,,ASEP[c][p 93][p 94],5.0,1218.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.816/17,,,,,,,,,,,,,9.014/17,,,,,,,,,,,,,,1.56/7,41.0163/167,,,37.2136/140,,,,,,,,117,,1997-09-15,,,Metra Seis/Colpisa[p 127][p 128],3.8,1000.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,9.7,,,,,,,,,,,,,,1.5,40.9,,,37.0,,,,,,,,118,,1997-07-17,,,Sigma Dos/El Mundo[p 129][p 130],3.9,,,
,,,,,,,,,,,,,,,,,,,,,,,4.3?,,,,,,,,,,,,,9.4?,,,,,,,,,,,,,,1.4?,40.3162,,,38.2142,,,,,,,,119,,1997-07-15,,,CIS[p 131][p 132][p 133][p 43],2.1,2495.0,78.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,,,36.4,,,,,,,,120,,1997-07-11,,,ASEP[c][p 93][p 94],3.2,1214.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,10.5,,,,,,,,,,,,,,1.3,38.1,,,36.4,,,,,,,,121,,1997-07-09,,,Demoscopia/El País[p 134][p 16],1.7,1200.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5,,,37.6,,,,,,,,122,,1997-07-06,,,DECO/PSOE[p 125],2.9,,,
,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,10.3,,,,,,,,,,,,,,1.4,40.1,,,37.7,,,,,,,,123,,1997-06-23,,,Gallup[p 30][p 16],2.4,,,
,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,0.5,,,,,,10.5,,,,,,,,,,,,,,1.0,40.0,,,38.0,,,,,,,,124,,1997-06-16,,,Opina/La Vanguardia[p 135],2.0,1000.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.6,,,38.6,,,,,,,,125,,1997-06-14,,,ASEP[c][p 93][p 94],2.0,1220.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.6,,,,,,,,,,,,,10.3,,,,,,,,,,,,,,1.4,39.5,,,37.4,,,,,,,,126,,1997-06-13,,,Sigma Dos/El Mundo[p 136],2.1,,,
,,,,,,,,,,,,,,,,,,,,,,,3.6,,,,,,,,,,,,,10.9,,,,,,,,,,,,,,1.1,40.0,,,35.9,,,,,,,,127,,1997-05-22,,,Vox Pública/El Periódico[p 137],4.1,800.0,,
,,,,,,,,,,,,,,,,,,,,,,,5.1,,,,,,,0.5,,,,,,10.0,,,,,,,,,,,,,,1.2,39.5,,,38.0,,,,,,,,128,,1997-05-20,,,Opina/La Vanguardia[p 138],1.5,1000.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.2,,,35.8,,,,,,,,129,,1997-05-17,,,ASEP[c][p 93][p 94],3.4,1221.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.6?,,,,,,,,,,,,,10.5?,,,,,,,,,,,,,,1.2?,39.2159,,,37.4139,,,,,,,,130,,1997-04-27,,,CIS[p 139][p 140][p 141][p 43],1.8,2496.0,78.3,
,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,0.5,,,,,,10.5,,,,,,,,,,,,,,1.0,38.0,,,39.0,,,,,,,,131,,1997-04-20,,,Opina/La Vanguardia[p 142],1.0,1000.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,10.4,,,,,,,,,,,,,,1.3,38.7,,,38.1,,,,,,,,132,,1997-04-18,,,Sigma Dos/El Mundo[p 143],0.6,,,
,,,,,,,,,,,,,,,,,,,,,,,4.9,,,,,,,,,,,,,10.6,,,,,,,,,,,,,,1.1,37.5,,,39.6,,,,,,,,133,,1997-03-24,,,Gallup[p 30][p 16],2.1,,,
,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,0.5,,,,,,10.0,,,,,,,,,,,,,,1.0,38.0,,,38.5,,,,,,,,134,,1997-03-08,,,Opina/La Vanguardia[p 144],0.5,1000.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,10.8,,,,,,,,,,,,,,1.2,39.6,,,37.0,,,,,,,,135,,1997-02-09,,,Sigma Dos/El Mundo[p 145],2.6,,,
,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,1.0,,,,,,10.0,,,,,,,,,,,,,,1.0,38.4,,,37.4,,,,,,,,136,,1997-02-04,,,Opina/La Vanguardia[p 146],1.0,1000.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.5?,,,,,,,,,,,,,10.0?,,,,,,,,,,,,,,1.4?,38.7156,,,38.2145,,,,,,,,137,,1997-01-27,,,CIS[p 147][p 148][p 149][p 43],0.5,2488.0,76.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,,,,,,,,,,,,,,,38.0,,,37.6,,,,,,,,138,,1997-01-18,,,ASEP[c][p 150][p 94],0.4,1212.0,73.4,
,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,10.4,,,,,,,,,,,,,,1.3,38.2,,,39.1,,,,,,,,139,,1997-01-02,,,Sigma Dos/El Mundo[p 151],0.9,1000.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,11.9,,,,,,,,,,,,,,1.6,35.9,,,39.9,,,,,,,,140,,1996-12-26,,,Gallup[p 152][p 153][p 30][p 16],4.0,,,
,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,10.5,,,,,,,,,,,,,,,35.4,,,40.0,,,,,,,,141,,1996-11-29,,,DECO/PSOE[p 154][p 153],4.6,1500.0,,
,,,,,,,,,,,,,,,,,,,,,,,5.1?,,,,,,,,,,,,,10.5?,,,,,,,,,,,,,,1.3?,36.3143,,,39.9154,,,,,,,,142,,1996-10-31,,,CIS[p 155][p 156][p 157][p 43],3.6,2498.0,77.4,
,,,,,,,,,,,,,,,,,,,,,,,4.8,,,,,,,,,,,,,11.4,,,,,,,,,,,,,,1.3,37.1,,,38.4,,,,,,,,143,,1996-10-25,,,Sigma Dos/El Mundo[p 158][p 151][p 153],1.3,1000.0,,
,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,11.4,,,,,,,,,,,,,,,36.1,,,38.7,,,,,,,,144,,1996-10-22,,,DECO/PSOE[p 159][p 154],2.6,1400.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,,,,,,,,,,,,,,,34.4,,,38.8,,,,,,,,145,,1996-10-12,,,ASEP[c][p 150][p 94],4.4,1212.0,79.1,
,,,,,,,,,,,,,,,,,,,,,,,4.9,,,,,,,,,,,,,11.7,,,,,,,,,,,,,,2.2,32.7,,,36.5,,,,,,,,146,,1996-10-10,,,Intercampo/GETS[p 44],3.8,,,
,,,,,,,,,,,,,,,,,,,,,,,4.816,,,,,,,0.51,,,,,,10.319/20,,,,,,,,,,,,,,1.45,37.2149/150,,,39.1150/151,,,,,,,,147,,1996-10-02,,,Opina/La Vanguardia[p 160][p 161][p 69],1.9,1066.0,,
,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,11.3,,,,,,,,,,,,,,1.4,38.8,,,36.8,,,,,,,,148,,1996-08-11,,,Sigma Dos/El Mundo[p 162][p 151],2.0,,,
,,,,,,,,,,,,,,,,,,,,,,,4.6,,,,,,,,,,,,,11.2,,,,,,,,,,,,,,1.4,38.8,,,37.3,,,,,,,,149,,1996-07-21,,,CIS[p 163][p 164],1.5,2496.0,79.2,
,,,,,,,,,,,,,,,,,,,,,,,4.9,,,,,,,,,,,,,11.3,,,,,,,,,,,,,,1.4,38.6,,,37.3,,,,,,,,150,,1996-06-02,,,CIS[p 165][p 166][p 167],1.3,2496.0,80.4,
,,,,,,,,,,,,,,,,,,,,,,,4.6,,,,,,,,,,,,,10.6,,,,,,,,,,,,,,1.3,38.9,,,37.5,,,,,,,,151,,1996-05-12,,,Demoscopia/El País[p 168][p 16],1.4,,,
,,,,,0.92,,,,,,,,,,,,,0.94,,,0.20,,4.616,,,,0.51,,,0.71,,,,0.72,,10.521,,,,,,,,0.50,,,,,,1.35,38.8156,,,37.6141,,,,,,,0.41,152,,1996-03-03,,,1996 general election,1.2,,77.4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,,,,,^ a b c d Unweighted data. ^ PSOE–IU alliance hypothesis. ^ a b c d e f g h i j k l m n Undecided and/or abstentionists excluded.,,,,
,,,,,0.82,,,,,0.10,,,,,0.10,,0.20,0.72,,,0.10,,3.010,,,,0.20,,,1.23,,,,,,3.82,,,,,0.10,,0.21,,,,,,,1.26,39.9154,,,43.9169,,,,,,1.21,,0,,2008-03-09,,,2008 general election,4.0,,73.8,
,,,,,0.81/2,,,,,,,,,,,,,0.62,,,,,3.19/11,,,,?0/1,,,1.23/4,,,,,,3.42/3,,,,,,,0.20/1,,,,,,,1.46/7,38.6148/152,,,45.0172/176,,,,,,1.11,,1,,2008-03-09,,,Ipsos/RTVE[p 1][p 2],6.4,210000.0,,
,,,,,0.71/2,,,,,,,,,,,,,0.71/2,,,0.20,,3.110,,,,0.20/1,,,2.36/7,,,,,,5.24/5,,,,,,,0.21,,,,,,,1.67,38.0149/152,,,43.3163/166,,,,,,1.01/2,,2,,2008-03-09,,,TNS Demoscopia/Antena 3[p 1][p 2],5.3,40000.0,,
,,,,,0.81/2,,,,,,,,,,,,,0.42,,,,,2.59/10,,,,,,,2.06,,,,,,5.04,,,,,,,0.31,,,,,,,1.16/7,37.5145/149,,,44.5168/173,,,,,,0.10,,3,,2008-03-09,,,Opina/Cadena SER[p 1][p 2],7.0,,,
,,,,,,,,,,,,,,,,,,,,,,,2.79/11,,,,,,,1.54/5,,,,,,5.23/5,,,,,,,,,,,,,,1.46/7,36.9142/147,,,44.9172/178,,,,,,?0,,4,,2008-03-09,,,Demométrica/Telecinco[p 1][p 3],8.0,,,
,,,,,,,,,,,,,,,,,,,,,,,?10/11,,,,,,,?4/5,,,,,,?4,,,,,,,,,,,,,,?6,38.1151/155,,,43.4166/170,,,,,,,,5,,2008-03-08,,,GESOP/El Periòdic[p 4][p 5],5.3,1000.0,72,
,,,,,,,,,,,,,,,,,,,,,,,?9/10,,,,,,,?5,,,,,,?3/4,,,,,,,,,,,,,,?6,39.0154/158,,,43.0162/166,,,,,,,,6,,2008-03-07,,,GESOP/El Periòdic[p 6][p 7],4.0,1000.0,71,
,,,,,,,,,,,,,,,,,,,,,,,?8/9,,,,,,,?5,,,,,,?4,,,,,,,,,,,,,,?6,38.6153/157,,,42.6161/165,,,,,,,,7,,2008-03-06,,,GESOP/El Periòdic[p 8],4.0,1200.0,70,
,,,,,,,,,,,,,,,,,,,,,,,2.9,,,,,,,1.6,,,,,,4.9,,,,,,,,,,,,,,1.5,39.3,,,43.1,,,,,,,,8,,2008-03-05,,,Sigma Dos/The Times[p 9],3.8,1000.0,74–76,
,,,,,,,,,,,,,,,,,,,,,,,?8/9,,,,,,,?5,,,,,,?4/5,,,,,,,,,,,,,,?6,39.0154/158,,,42.4159/163,,,,,,,,9,,2008-03-05,,,GESOP/El Periòdic[p 10],3.4,1000.0,68,
,,,,,,,,,,,,,,,,,,,,,,,?8/9,,,,,,,?5/6,,,,,,?4/6,,,,,,,,,,,,,,?6/7,39.0156/160,,,41.5156/160,,,,,,,,10,,2008-03-04,,,GESOP/El Periòdic[p 11],2.5,600.0,68,
,,,,,?2,,,,,?1,,,,,,,?1,?2,,,?0,,?10/11,,,,?1,,,?6,,,,,,?5,,,,,?1,,?1,,,,,,,?7,39.8154/158,,,42.1157/160,,,,,,?0/1,,11,,2008-03-03,,,Demo Ibérica/COPE[p 12][p 13],2.3,,70.9,
,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,1.6,,,,,,5.0,,,,,,,,,,,,,,1.2,38.0,,,43.5,,,,,,,,12,,2008-03-02,,,Opina/Cadena SER[p 14][p 15][p 16],5.5,,74,
,,,,,,,,,,,,,,,,,,,,,,,?9/10,,,,,,,?4/5,,,,,,5.24/5,,,,,,,,,,,,,,,38.0146/153,,,44.1169/176,,,,,,?1,,13,,2008-03-02,,,Demométrica/Telecinco[p 17],6.1,3000.0,,
,,,,,0.81/2,,,,,,,,,,,,,0.62,,,0.20,,3.010/11,,,,0.31,,,1.95/6,,,,,,5.35/8,,,,,,,0.20/1,,,,,,,1.67,38.5148/154,,,43.4162/168,,,,,,,,14,,2008-03-02,,,Ipsos/Faro de Vigo[p 18],4.9,,72–74,
,,,,,,,,,,,,,,,,,,,,,,,2.79/10,,,,,,,1.55,,,,,,5.05,,,,,,,,,,,,,,1.26/7,38.0152/154,,,44.0164/170,,,,,,,,15,,2008-03-01,,,Opina/Cadena SER[p 19][p 16],6.0,3000.0,72,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,44.3,,,,,,,,16,,2008-03-01,,,Demométrica/Telecinco[p 20],6.3,3000.0,,
,,,,,0.60/2,,,,,,,,,,,,,0.72,,,0.10,,3.29/11,,,,0.30/1,,,1.95/6,,,,,,4.44,,,,,,,0.31,,,,,,,1.57,39.3148/161,,,43.4157/171,,,,,,0.80/1,,17,,2008-03-01,,,Sigma Dos/El Mundo[p 21][p 22][p 23],4.1,11000.0,76–78,
,,,,,?0/1,,,,,,,,,,?1,,,?1,,,?0,,2.78/9,,,,?0,,,?4,,,,,,4.84,,,,,,,?1,,,,,,,?7,39.5153/158,,,43.9165/171,,,,,,,,18,,2008-03-01,,,Obradoiro de Socioloxía/Público[p 24],4.4,7200.0,,
,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,1.5,,,,,,5.0,,,,,,,,,,,,,,1.2,38.5,,,44.0,,,,,,,,19,,2008-02-29,,,Opina/Cadena SER[p 25][p 16],5.5,,,
,,,,,,,,,,,,,,,,,,,,,,,3.4,,,,,,,2.5,,,,,,5.5,,,,,,,,,,,,,,1.7,40.5,,,37.6,,,,,,,,20,,2008-02-29,,,Intereconomía[p 26],2.9,,72,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.2,,,44.6,,,,,,,,21,,2008-02-29,,,Demométrica/Telecinco[p 27],6.4,3000.0,,
,,,,,,,,,,,,,,,,,,,,,,,2.58/9,,,,,,,1.86,,,,,,4.44/5,,,,,,,,,,,,,,1.36/7,39.5152/156,,,43.5162/167,,,,,,,,22,,2008-02-29,,,Noxa/La Vanguardia[p 28],4.0,1200.0,,
,,,,,,,,,,,,,,,,,,,,,,,?9/11,,,,,,,?6/8,,,,,,?5/9,,,,,,,,,,,,,,,?149/155,,,?157/163,,,,,,,,23,,2008-02-29,,,Infortécnica[p 29],,1945.0,,
,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,1.5,,,,,,4.7,,,,,,,,,,,,,,1.2,39.5,,,44.5,,,,,,,,24,,2008-02-28,,,Opina/Cadena SER[p 30][p 16],5.0,,72,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,,,,,,,,,,,,,,,38.4,,,44.5,,,,,,,,25,,2008-02-28,,,Demométrica/Telecinco[p 31],6.1,3000.0,,
,,,,,,,,,,,,,,,,,,,,,,,3.1,,,,,,,1.5,,,,,,4.5,,,,,,,,,,,,,,1.5,38.8,,,45.0,,,,,,,,26,,2008-02-28,,,Obradoiro de Socioloxía/Público[p 32][p 33],6.2,1810.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,,,,,,,,,,,,,40.0,,,42.0,,,,,,,,27,,2008-02-28,,,DYM/ABC[p 34],2.0,1075.0,,
,,,,,,,,,,,,,,,,,,,,,,,2.38,,,,,,,1.54/5,,,,,,4.03/4,,,,,,,,,,,,,,1.57,39.0153/157,,,44.0165/169,,,,,,,,28,,2008-02-27,,,Opina/Cadena SER[p 35][p 36],5.0,9000.0,,
,,,,,,,,,,,,,,,,,,,,,,,?9,,,,,,,?6,,,,,,?4/5,,,,,,,,,,,,,,?6/7,38.5154/156,,,42.3162/164,,,,,,,,29,,2008-02-27,,,TNS Demoscopia/Antena 3[p 37][p 38],3.8,,75.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,,,,,,,,,,,,,,38.8,,,44.1,,,,,,,,30,,2008-02-27,,,Demométrica/Telecinco[p 39],5.3,3000.0,76.3,
,,,,,,,,,,,,,,,,,,,,,,,3.1,,,,,,,1.5,,,,,,4.7,,,,,,,,,,,,,,1.5,38.9,,,45.3,,,,,,,,31,,2008-02-27,,,Obradoiro de Socioloxía/Público[p 33],6.4,,,
,,,,,1.1,,,,,,,,,,,,,,,,,,2.7,,,,,,,1.7,,,,,,4.6,,,,,,,,,,,,,,1.4,40.0,,,43.5,,,,,,1.3,,32,,2008-02-27,,,Sondaxe/La Voz de Galicia[p 40],3.5,1300.0,74.4,
,,,,,,,,,,,,,,,,,,0.62,,,0.20,,2.69,,,,,,,1.95/6,,,,,,4.84,,,,,,,,,,,,,,1.57,38.8148/154,,,42.9165/169,,,,,,1.10/1,,33,,2008-02-27,,,Metroscopia/El País[p 41],4.1,8750.0,74–75,
,,,,,?2,,,,,?1,,,,,,,?1,?2,,,?0,,?10,,,,?1,,,?6,,,,,,?5/6,,,,,?0/1,,?1,,,,,,,?7,39.6153/156,,,41.7157/160,,,,,,?0/1,,34,,2008-02-26,,,Demo Ibérica/COPE[p 42],2.1,,70.9,
,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,1.5,,,,,,4.0,,,,,,,,,,,,,,1.5,39.0,,,44.0,,,,,,,,35,,2008-02-26,,,Opina/Cadena SER[p 43][p 36],5.0,,,
,,,,,,,,,,,,,,,,,,,,,,,?8/9,,,,,,,?5/6,,,,,,?4/5,,,,,,,,,,,,,,?6,37.0149/154,,,42.5165/170,,,,,,,,36,,2008-02-26,,,GESOP/El Periódico[p 44][p 45],5.5,600.0,68,
,,,,,,,,,,,,,,,,,,,,,,,?10,,,,,,,?3/4,,,,,,5.35/7,,,,,,,,,,,,,,?6,38.6148/152,,,44.2170/177,,,,,,,,37,,2008-02-26,,,Demométrica/Telecinco[p 46][p 47],5.6,8000.0,,
,,,,,,,,,,,,,,,,,,,,,,,3.1,,,,,,,1.4,,,,,,4.5,,,,,,,,,,,,,,1.4,38.7,,,45.3,,,,,,,,38,,2008-02-26,,,Obradoiro de Socioloxía/Público[p 48],6.6,,,
,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,1.5,,,,,,4.0,,,,,,,,,,,,,,1.5,39.0,,,44.0,,,,,,,,39,,2008-02-25,,,Opina/Cadena SER[p 49][p 36],5.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5,,,43.2,,,,,,,,40,,2008-02-25,,,Demométrica/Telecinco[p 50],4.7,,,
,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,1.3,,,,,,4.8,,,,,,,,,,,,,,1.4,38.5,,,45.3,,,,,,,,41,,2008-02-25,,,Obradoiro de Socioloxía/Público[p 51],6.8,1796.0,,
,,,,,,,,,,,,,,,,,,,,,,,2.69,,,,,,,1.75,,,,,,4.54,,,,,,,,,,,,,,1.47,40.0154/156,,,44.0163/167,,,,,,,,42,,2008-02-24,,,Opina/Cadena SER[p 52][p 53],4.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.7,,,42.9,,,,,,,,43,,2008-02-24,,,Demométrica/Telecinco[p 54],4.2,,,
